id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour,Silk Soul,r&b,warm,0.65,95,0.78,0.72,0.44
12,Bass Drop Berlin,Klub Kurrent,edm,euphoric,0.96,140,0.70,0.94,0.04
13,Rainy Piano Suite,Celeste Moore,classical,melancholic,0.22,66,0.34,0.30,0.96
14,City Lights Freestyle,Block Theory,hip-hop,confident,0.78,88,0.72,0.83,0.12
15,Open Road Anthem,Dusty Miles,country,nostalgic,0.55,98,0.68,0.64,0.58
16,Iron Fist Rising,Skull Fracture,metal,aggressive,0.97,165,0.31,0.55,0.06
17,Ipanema Dreams,Bossa Collective,bossa nova,relaxed,0.38,115,0.76,0.62,0.85
18,Campfire Stories,Petal Drift,indie folk,nostalgic,0.43,84,0.72,0.57,0.88
19,Neon Seoul,K-Glow,k-pop,energetic,0.88,130,0.85,0.91,0.08
20,Crossroads Blues,Harp and Smoke,blues,melancholic,0.47,76,0.42,0.51,0.73
21,Velvet Static,Mirror Maze,indie,moody,0.62,102,0.55,0.67,0.48
22,Pulse Wave 99,Circuit Dreams,synthwave,intense,0.80,118,0.60,0.77,0.19
